En_tot Ep Ec 
14.157875 5.187458 8.970416 
14.205463 4.262779 9.942684 
14.287208 6.151006 8.136202 
14.198770 3.657644 10.541126 
14.102273 6.581812 7.520461 
14.354282 8.735742 5.618540 
14.342022 10.808457 3.533565 
14.495970 11.064019 3.431950 
14.241518 7.514162 6.727355 
14.293093 9.069217 5.223876 
14.113343 2.385581 11.727762 
14.055657 6.501214 7.554443 
14.233773 5.174265 9.059509 
14.193758 8.614661 5.579097 
14.178740 3.355953 10.822788 
14.001047 3.083506 10.917541 
14.165068 3.487703 10.677365 
14.217257 6.405539 7.811718 
14.134544 1.402950 12.731594 
14.161338 7.504188 6.657149 
14.195701 6.960378 7.235322 
14.483227 10.809429 3.673798 
14.303825 6.445851 7.857975 
14.254792 7.123266 7.131525 
14.360575 9.629330 4.731245 
14.278743 7.392704 6.886039 
14.356209 11.207942 3.148267 
14.407092 8.043999 6.363093 
14.413580 11.436848 2.976732 
14.205570 4.335534 9.870036 
14.090854 4.132312 9.958542 
14.271251 4.714839 9.556412 
14.225816 5.046657 9.179159 
14.341710 7.492586 6.849124 
14.304785 7.670855 6.633929 
14.199423 6.301771 7.897652 
14.370123 12.070231 2.299891 
14.399857 8.937922 5.461936 
14.290134 6.367263 7.922872 
14.345041 10.282867 4.062174 
14.321181 9.943370 4.377811 
14.482118 10.833480 3.648638 
14.022851 3.095015 10.927836 
14.355800 8.053146 6.302654 
14.197449 5.853573 8.343875 
14.173847 3.465836 10.708011 
14.217799 3.698603 10.519196 
14.149645 4.704368 9.445277 
14.288305 5.970976 8.317329 
14.136032 5.898808 8.237224 
14.141092 5.357860 8.783232 
14.150413 7.713961 6.436452 
14.290557 10.581734 3.708824 
14.110502 6.333137 7.777365 
14.339036 8.851053 5.487984 
14.343001 10.684612 3.658389 
14.280994 7.617010 6.663984 
14.192992 9.132578 5.060414 
14.211989 5.818230 8.393759 
14.004399 4.103565 9.900835 
14.224356 4.915665 9.308692 
14.153086 4.067033 10.086053 
14.227191 5.186114 9.041077 
14.235426 8.383002 5.852424 
14.271834 5.729629 8.542205 
14.407627 9.678247 4.729381 
14.150208 4.302330 9.847879 
14.435928 11.409103 3.026825 
14.131101 7.055440 7.075661 
14.261477 7.925094 6.336384 
14.313603 9.369833 4.943770 
14.168690 4.109351 10.059340 
14.100774 8.823821 5.276953 
14.192953 2.673448 11.519504 
14.218583 8.798802 5.419781 
14.092789 3.107852 10.984937 
14.041674 3.223263 10.818410 
14.235570 4.942251 9.293319 
13.999823 6.840713 7.159110 
14.183505 0.910914 13.272592 
14.162022 8.952292 5.209730 
14.241020 5.526456 8.714564 
14.105627 7.803813 6.301814 
14.089767 4.924126 9.165641 
14.320793 7.794599 6.526194 
14.191969 9.943983 4.247986 
14.238162 6.555506 7.682656 
14.364906 10.418408 3.946498 
14.222590 4.751084 9.471505 
14.254950 6.959971 7.294980 
14.350018 6.566697 7.783321 
14.076511 3.538524 10.537987 
14.275890 4.666225 9.609665 
14.076065 5.522127 8.553938 
14.190068 1.302250 12.887818 
14.303305 9.213379 5.089926 
14.259479 6.788249 7.471229 
14.146315 6.344612 7.801703 
14.147516 7.414618 6.732898 
14.210771 9.651802 4.558969 
14.340521 11.510477 2.830044 
14.254524 7.224213 7.030311 
14.251961 8.196805 6.055156 
14.140416 2.355153 11.785263 
14.026180 2.022585 12.003595 
14.218237 7.648037 6.570200 
14.204530 4.073974 10.130556 
14.237905 5.194896 9.043010 
14.173664 5.866074 8.307589 
14.213072 3.990443 10.222628 
14.253699 6.561470 7.692229 
14.223031 6.293098 7.929933 
14.186899 5.673750 8.513150 
14.117004 6.989636 7.127368 
14.343723 10.518866 3.824858 
14.212524 9.266604 4.945919 
14.281851 9.893172 4.388679 
14.221436 4.643187 9.578249 
14.210061 6.671908 7.538153 
14.166494 3.721669 10.444825 
14.085714 6.431503 7.654212 
14.215347 2.841706 11.373641 
14.231346 6.942653 7.288692 
14.316217 7.701235 6.614982 
14.194572 6.682741 7.511831 
14.189285 5.988545 8.200740 
14.378001 10.972673 3.405327 
14.285221 7.204823 7.080398 
14.071955 4.750566 9.321389 
14.151399 7.523782 6.627617 
14.218443 6.396560 7.821884 
14.153358 8.005948 6.147411 
14.129288 5.871269 8.258019 
14.316836 8.105501 6.211336 
14.213116 3.595748 10.617368 
14.300164 10.598766 3.701398 
14.248188 4.120867 10.127321 
14.209606 7.889501 6.320105 
14.254039 6.158816 8.095223 
14.233072 8.155190 6.077883 
